GuideName,Ncells
March1_1,600
March1_2,504
March1_3,656
March2_1,592
March2_2,300
March2_3,624
March4_1,376
March4_2,292
March4_3,476
March5_1,452
March5_2,548
March5_3,484
March6_1,576
March6_2,252
March6_3,368
March7_1,588
March7_2,628
March7_3,352
March8_1,612
March8_2,324
March8_3,872
March9_1,480
March9_2,344
March9_3,788
March11_1,280
March11_2,404
March11_3,480
4921501E09Rik_1,580
4921501E09Rik_2,692
4921501E09Rik_3,552
4930595M18Rik_1,648
4930595M18Rik_2,644
4930595M18Rik_3,608
8030462N17Rik_1,308
8030462N17Rik_2,532
8030462N17Rik_3,544
Aamp_1,548
Aamp_2,432
Aamp_3,84
Abtb1_1,700
Abtb1_2,412
Abtb1_3,196
Abtb2_1,568
Abtb2_2,576
Abtb2_3,548
Acaca_1,584
Acaca_2,628
Acaca_3,356
Ago2_1,440
Ago2_2,572
Ago2_3,508
Ahctf1_1,616
Ahctf1_2,264
Ahctf1_3,788
Ahi1_1,388
Ahi1_2,496
Ahi1_3,312
Ahr_1,296
Ahr_2,556
Ahr_3,164
Aire_1,384
Aire_2,316
Aire_3,640
Akt1_1,416
Akt1_2,676
Akt1_3,444
Ambra1_1,532
Ambra1_2,272
Ambra1_3,684
Amfr_1,644
Amfr_2,368
Amfr_3,456
Anapc1_1,520
Anapc1_2,312
Anapc1_3,672
Anapc10_1,412
Anapc10_2,516
Anapc10_3,540
Anapc11_1,276
Anapc11_2,752
Anapc11_3,760
Anapc13_1,844
Anapc13_2,648
Anapc13_3,432
Anapc2_1,460
Anapc2_2,660
Anapc2_3,648
Anapc4_1,448
Anapc4_2,576
Anapc4_3,620
Anapc5_1,400
Anapc5_2,388
Anapc5_3,376
Anapc7_1,592
Anapc7_2,384
Anapc7_3,428
Ankfy1_1,736
Ankfy1_2,264
Ankfy1_3,556
Apaf1_1,924
Apaf1_2,564
Apaf1_3,284
Apbb1_1,308
Apbb1_2,600
Apbb1_3,380
Apc_1,436
Apc_2,912
Apc_3,680
Ar_1,328
Ar_2,496
Ar_3,180
Arel1_1,388
Arel1_2,140
Arel1_3,752
Arih1_1,380
Arih1_2,564
Arih1_3,432
Arih2_1,332
Arih2_2,604
Arih2_3,580
Armc8_1,412
Armc8_2,388
Armc8_3,448
Arnt_1,584
Arnt_2,384
Arnt_3,560
Arpc1a_1,604
Arpc1a_2,472
Arpc1a_3,552
Arpc1b_1,348
Arpc1b_2,680
Arpc1b_3,596
Arrb1_1,480
Arrb1_2,616
Arrb1_3,292
Asb1_1,500
Asb1_2,544
Asb1_3,536
Asb11_1,756
Asb11_2,400
Asb11_3,424
Asb12_1,448
Asb12_2,440
Asb12_3,600
Asb14_1,556
Asb14_2,480
Asb14_3,352
Asb15_1,352
Asb15_2,776
Asb15_3,684
Asb18_1,720
Asb18_2,300
Asb18_3,368
Asb2_1,404
Asb2_2,508
Asb2_3,460
Asb3_1,556
Asb3_2,692
Asb3_3,408
Asb4_1,772
Asb4_2,600
Asb4_3,448
Asb6_1,300
Asb6_2,360
Asb6_3,436
Asb7_1,568
Asb7_2,292
Asb7_3,464
Asb8_1,720
Asb8_2,376
Asb8_3,760
Asb9_1,548
Asb9_2,932
Asb9_3,416
Atg16l1_1,420
Atg16l1_2,616
Atg16l1_3,984
Atg16l2_1,488
Atg16l2_2,532
Atg16l2_3,492
Atg5_1,496
Atg5_2,424
Atg5_3,308
Atxn3_1,636
Atxn3_2,220
Atxn3_3,468
Aurka_1,288
Aurka_2,484
Aurka_3,364
Bach1_1,672
Bach1_2,820
Bach1_3,556
Bach2_1,592
Bach2_2,384
Bach2_3,472
Bard1_1,436
Bard1_2,472
Bard1_3,292
Baz1a_1,464
Baz1a_2,500
Baz1a_3,312
Baz1b_1,360
Baz1b_2,392
Baz1b_3,520
Bcl6_1,552
Bcl6_2,604
Bcl6_3,780
Bcl6b_1,700
Bcl6b_2,500
Bcl6b_3,344
Bfar_1,388
Bfar_2,360
Bfar_3,440
Bid_1,668
Bid_2,472
Bid_3,648
Birc2_1,384
Birc2_2,540
Birc2_3,692
Birc3_1,644
Birc3_2,640
Birc3_3,544
Birc7_1,580
Birc7_2,456
Birc7_3,300
Bmi1_1,768
Bmi1_2,312
Bmi1_3,380
Bop1_1,596
Bop1_2,388
Bop1_3,764
Bptf_1,472
Bptf_2,680
Bptf_3,480
Brap_1,644
Brap_2,688
Brap_3,384
Brca1_1,360
Brca1_2,688
Brca1_3,476
Brwd1_1,532
Brwd1_2,364
Brwd1_3,664
Brwd3_1,496
Brwd3_2,480
Brwd3_3,400
Btbd1_1,492
Btbd1_2,340
Btbd1_3,272
Btbd11_1,384
Btbd11_2,360
Btbd11_3,444
Btbd18_1,472
Btbd18_2,352
Btbd18_3,544
Btbd19_1,384
Btbd19_2,432
Btbd19_3,316
Btbd2_1,740
Btbd2_2,400
Btbd2_3,552
Btbd3_1,572
Btbd3_2,436
Btbd3_3,364
Btbd6_1,456
Btbd6_2,572
Btbd6_3,628
Btbd7_1,200
Btbd7_2,768
Btbd7_3,224
Btbd8_1,300
Btbd8_2,620
Btbd8_3,180
Btbd9_1,396
Btbd9_2,804
Btbd9_3,512
Btrc_1,572
Btrc_2,356
Btrc_3,508
Bub3_1,636
Bub3_2,336
Bub3_3,488
Cacybp_1,748
Cacybp_2,744
Cacybp_3,256
Cadps2_1,556
Cadps2_2,460
Cadps2_3,624
Cbl_1,584
Cbl_2,236
Cbl_3,576
Cblb_1,404
Cblb_2,568
Cblb_3,416
Cblc_1,668
Cblc_2,316
Cblc_3,592
Cbll1_1,600
Cbll1_2,384
Cbll1_3,440
Cbx4_1,468
Cbx4_2,668
Cbx4_3,780
Ccdc40_1,352
Ccdc40_2,440
Ccdc40_3,488
Ccin_1,640
Ccin_2,452
Ccin_3,316
Ccnb1ip1_1,264
Ccnb1ip1_2,728
Ccnb1ip1_3,724
Ccnb2_1,412
Ccnb2_2,528
Ccnb2_3,800
Ccnd1_1,300
Ccnd1_2,612
Ccnd1_3,356
Ccnf_1,440
Ccnf_2,580
Ccnf_3,616
Cd28_1,708
Cd28_2,504
Cd28_3,168
Cd2ap_1,608
Cd2ap_2,176
Cd2ap_3,352
Cdc16_1,384
Cdc16_2,564
Cdc16_3,680
Cdc20_1,376
Cdc20_2,476
Cdc20_3,380
Cdc20b_1,644
Cdc20b_2,356
Cdc20b_3,376
Cdc23_1,376
Cdc23_2,340
Cdc23_3,340
Cdc26_1,604
Cdc26_2,408
Cdc26_3,580
Cdc27_1,324
Cdc27_2,656
Cdc27_3,488
Cdc34_1,180
Cdc34_2,632
Cdc34_3,464
Cdc40_1,568
Cdc40_2,584
Cdc40_3,380
Cdca3_1,344
Cdca3_2,552
Cdca3_3,392
Cdk5_1,388
Cdk5_2,484
Cdk5_3,476
Cdkn1b_1,424
Cdkn1b_2,152
Cdkn1b_3,696
Cdkn2a_1,540
Cdkn2a_2,468
Cdkn2a_3,556
Cebpb_1,392
Cebpb_2,516
Cebpb_3,236
Cfap44_1,400
Cfap44_2,356
Cfap44_3,424
Cfap52_1,484
Cfap52_2,568
Cfap52_3,248
Cfap57_1,484
Cfap57_2,888
Cfap57_3,628
Cgrrf1_1,316
Cgrrf1_2,620
Cgrrf1_3,180
Chaf1b_1,668
Chaf1b_2,280
Chaf1b_3,660
Chd3_1,360
Chd3_2,464
Chd3_3,500
Chd4_1,352
Chd4_2,620
Chd4_3,536
Chd5_1,572
Chd5_2,408
Chd5_3,844
Chfr_1,452
Chfr_2,540
Chfr_3,540
Ciao1_1,500
Ciao1_2,284
Ciao1_3,496
Cirh1a_1,456
Cirh1a_2,400
Cirh1a_3,572
Cish_1,588
Cish_2,292
Cish_3,284
Cnot4_1,676
Cnot4_2,572
Cnot4_3,652
Cntn4_1,420
Cntn4_2,672
Cntn4_3,600
Copa_1,556
Copa_2,436
Copa_3,904
Copb2_1,800
Copb2_2,416
Copb2_3,276
Coro1a_1,396
Coro1a_2,904
Coro1a_3,696
Coro1b_1,356
Coro1b_2,432
Coro1b_3,652
Coro1c_1,376
Coro1c_2,324
Coro1c_3,244
Coro2a_1,376
Coro2a_2,564
Coro2a_3,680
Coro2b_1,292
Coro2b_2,376
Coro2b_3,712
Coro6_1,616
Coro6_2,300
Coro6_3,372
Coro7_1,740
Coro7_2,560
Coro7_3,444
Cpne1_1,340
Cpne1_2,500
Cpne1_3,360
Cpne9_1,552
Cpne9_2,152
Cpne9_3,708
Crbn_1,456
Crbn_2,272
Crbn_3,680
Crebbp_1,740
Crebbp_2,408
Crebbp_3,440
Cry1_1,608
Cry1_2,308
Cry1_3,516
Cryab_1,524
Cryab_2,484
Cryab_3,668
Cstf1_1,540
Cstf1_2,476
Cstf1_3,468
Ctnnb1_1,320
Ctnnb1_2,192
Ctnnb1_3,592
Cul1_1,552
Cul1_2,184
Cul1_3,596
Cul2_1,508
Cul2_2,484
Cul2_3,196
Cul3_1,172
Cul3_2,552
Cul3_3,760
Cul4a_1,672
Cul4a_2,620
Cul4a_3,572
Cul4b_1,272
Cul4b_2,512
Cul4b_3,488
Cul5_1,316
Cul5_2,324
Cul5_3,668
Cul7_1,576
Cul7_2,532
Cul7_3,628
Cul9_1,500
Cul9_2,440
Cul9_3,544
Cxcr4_1,568
Cxcr4_2,488
Cxcr4_3,772
Cyld_1,740
Cyld_2,568
Cyld_3,264
D7Ertd443e_1,348
D7Ertd443e_2,544
D7Ertd443e_3,696
Dab1_1,420
Dab1_2,220
Dab1_3,560
Dars_1,564
Dars_2,692
Dars_3,340
Daw1_1,412
Daw1_2,400
Daw1_3,688
Dazap2_1,428
Dazap2_2,684
Dazap2_3,296
Dbt_1,388
Dbt_2,792
Dbt_3,564
Dcaf10_1,644
Dcaf10_2,508
Dcaf10_3,84
Dcaf11_1,588
Dcaf11_2,620
Dcaf11_3,160
Dcaf12_1,344
Dcaf12_2,200
Dcaf12_3,896
Dcaf12l1_1,400
Dcaf12l1_2,536
Dcaf12l1_3,556
Dcaf12l2_1,184
Dcaf12l2_2,544
Dcaf12l2_3,584
Dcaf13_1,244
Dcaf13_2,224
Dcaf13_3,580
Dcaf15_1,540
Dcaf15_2,392
Dcaf15_3,516
Dcaf17_1,292
Dcaf17_2,444
Dcaf17_3,536
Dcaf4_1,456
Dcaf4_2,636
Dcaf4_3,336
Dcaf5_1,936
Dcaf5_2,704
Dcaf5_3,184
Dcaf6_1,608
Dcaf6_2,484
Dcaf6_3,544
Dcaf7_1,616
Dcaf7_2,676
Dcaf7_3,560
Dcaf8_1,448
Dcaf8_2,580
Dcaf8_3,500
Dcst1_1,520
Dcst1_2,444
Dcst1_3,360
Dcun1d1_1,628
Dcun1d1_2,408
Dcun1d1_3,644
Dcun1d2_1,448
Dcun1d2_2,408
Dcun1d2_3,268
Dcun1d3_1,668
Dcun1d3_2,604
Dcun1d3_3,632
Dcun1d5_1,668
Dcun1d5_2,308
Dcun1d5_3,288
Dda1_1,524
Dda1_2,480
Dda1_3,180
Ddb1_1,704
Ddb1_2,132
Ddb1_3,472
Ddb2_1,632
Ddb2_2,280
Ddb2_3,668
Ddx41_1,372
Ddx41_2,568
Ddx41_3,340
Ddx58_1,236
Ddx58_2,248
Ddx58_3,452
Dennd3_1,272
Dennd3_2,36
Dennd3_3,548
Det1_1,472
Det1_2,476
Det1_3,476
Diablo_1,628
Diablo_2,668
Diablo_3,688
Dido1_1,716
Dido1_2,212
Dido1_3,436
Dio1_1,344
Dio1_2,360
Dio1_3,636
Dlg4_1,608
Dlg4_2,436
Dlg4_3,828
Dmwd_1,464
Dmwd_2,660
Dmwd_3,400
Dmxl1_1,196
Dmxl1_2,352
Dmxl1_3,264
Dmxl2_1,712
Dmxl2_2,448
Dmxl2_3,720
Dnaic1_1,360
Dnaic1_2,896
Dnaic1_3,676
Dnaic2_1,676
Dnaic2_2,612
Dnaic2_3,428
Dok3_1,384
Dok3_2,676
Dok3_3,364
Dpf1_1,584
Dpf1_2,436
Dpf1_3,480
Dpf2_1,400
Dpf2_2,412
Dpf2_3,560
Dpf3_1,768
Dpf3_2,604
Dpf3_3,380
Dph7_1,616
Dph7_2,740
Dph7_3,504
Dpy19l2_1,636
Dpy19l2_2,976
Dpy19l2_3,476
Dpysl2_1,648
Dpysl2_2,540
Dpysl2_3,368
Drd4_1,588
Drd4_2,500
Drd4_3,396
Dtl_1,228
Dtl_2,372
Dtl_3,544
Dtx1_1,612
Dtx1_2,604
Dtx1_3,104
Dtx2_1,80
Dtx2_2,608
Dtx2_3,148
Dtx3_1,468
Dtx3_2,616
Dtx3_3,628
Dtx3l_1,136
Dtx3l_2,620
Dtx3l_3,620
Dtx4_1,352
Dtx4_2,472
Dtx4_3,616
Dync1i1_1,596
Dync1i1_2,364
Dync1i1_3,584
Dync1i2_1,456
Dync1i2_2,664
Dync1i2_3,600
Dzip3_1,492
Dzip3_2,920
Dzip3_3,472
E4f1_1,428
E4f1_2,432
E4f1_3,592
Ecel1_1,516
Ecel1_2,312
Ecel1_3,476
Eed_1,588
Eed_2,344
Eed_3,564
Efcab8_1,440
Efcab8_2,860
Efcab8_3,604
Egfr_1,256
Egfr_2,796
Egfr_3,572
Egr2_1,412
Egr2_2,452
Egr2_3,508
Eif3f_1,476
Eif3f_2,364
Eif3f_3,612
Eif3i_1,396
Eif3i_2,728
Eif3i_3,532
Elp2_1,532
Elp2_2,596
Elp2_3,384
Eml1_1,588
Eml1_2,384
Eml1_3,488
Eml2_1,632
Eml2_2,564
Eml2_3,176
Eml3_1,408
Eml3_2,384
Eml3_3,356
Eml4_1,80
Eml4_2,780
Eml4_3,552
Eml5_1,456
Eml5_2,552
Eml5_3,272
Eml6_1,560
Eml6_2,248
Eml6_3,232
Enc1_1,284
Enc1_2,144
Enc1_3,132
Ep300_1,488
Ep300_2,548
Ep300_3,396
Ercc8_1,520
Ercc8_2,636
Ercc8_3,524
Exoc5_1,428
Exoc5_2,480
Exoc5_3,528
Fancl_1,340
Fancl_2,776
Fancl_3,384
Fas_1,496
Fas_2,760
Fas_3,504
Fasl_1,604
Fasl_2,424
Fasl_3,540
Fasn_1,680
Fasn_2,624
Fasn_3,172
Fbxl12_1,692
Fbxl12_2,920
Fbxl12_3,476
Fbxl13_1,620
Fbxl13_2,528
Fbxl13_3,940
Fbxl14_1,764
Fbxl14_2,380
Fbxl14_3,524
Fbxl15_1,520
Fbxl15_2,436
Fbxl15_3,360
Fbxl19_1,460
Fbxl19_2,612
Fbxl19_3,604
Fbxl2_1,448
Fbxl2_2,732
Fbxl2_3,880
Fbxl20_1,352
Fbxl20_2,288
Fbxl20_3,636
Fbxl3_1,648
Fbxl3_2,384
Fbxl3_3,304
Fbxl4_1,564
Fbxl4_2,464
Fbxl4_3,224
Fbxl5_1,444
Fbxl5_2,1028
Fbxl5_3,260
Fbxl6_1,376
Fbxl6_2,456
Fbxl6_3,600
Fbxl7_1,144
Fbxl7_2,580
Fbxl7_3,852
Fbxl8_1,464
Fbxl8_2,368
Fbxl8_3,400
Fbxo10_1,212
Fbxo10_2,568
Fbxo10_3,476
Fbxo11_1,388
Fbxo11_2,516
Fbxo11_3,628
Fbxo15_1,388
Fbxo15_2,844
Fbxo15_3,736
Fbxo17_1,416
Fbxo17_2,464
Fbxo17_3,368
Fbxo18_1,308
Fbxo18_2,288
Fbxo18_3,520
Fbxo2_1,596
Fbxo2_2,652
Fbxo2_3,516
Fbxo22_1,748
Fbxo22_2,568
Fbxo22_3,456
Fbxo25_1,444
Fbxo25_2,508
Fbxo25_3,484
Fbxo27_1,652
Fbxo27_2,608
Fbxo27_3,544
Fbxo28_1,428
Fbxo28_2,244
Fbxo28_3,500
Fbxo3_1,680
Fbxo3_2,640
Fbxo3_3,504
Fbxo30_1,436
Fbxo30_2,612
Fbxo30_3,448
Fbxo31_1,196
Fbxo31_2,580
Fbxo31_3,632
Fbxo32_1,544
Fbxo32_2,364
Fbxo32_3,228
Fbxo33_1,312
Fbxo33_2,524
Fbxo33_3,668
Fbxo4_1,376
Fbxo4_2,420
Fbxo4_3,528
Fbxo40_1,580
Fbxo40_2,464
Fbxo40_3,604
Fbxo42_1,940
Fbxo42_2,580
Fbxo42_3,232
Fbxo44_1,448
Fbxo44_2,472
Fbxo44_3,496
Fbxo45_1,752
Fbxo45_2,460
Fbxo45_3,648
Fbxo48_1,400
Fbxo48_2,308
Fbxo48_3,72
Fbxo6_1,616
Fbxo6_2,412
Fbxo6_3,552
Fbxo7_1,336
Fbxo7_2,392
Fbxo7_3,156
Fbxo9_1,508
Fbxo9_2,288
Fbxo9_3,568
Fbxw10_1,424
Fbxw10_2,376
Fbxw10_3,768
Fbxw11_1,620
Fbxw11_2,528
Fbxw11_3,376
Fbxw15_1,664
Fbxw15_2,280
Fbxw15_3,552
Fbxw2_1,380
Fbxw2_2,632
Fbxw2_3,704
Fbxw4_1,660
Fbxw4_2,428
Fbxw4_3,560
Fbxw5_1,456
Fbxw5_2,692
Fbxw5_3,464
Fbxw7_1,568
Fbxw7_2,720
Fbxw7_3,452
Fbxw8_1,652
Fbxw8_2,596
Fbxw8_3,440
Fbxw9_1,232
Fbxw9_2,372
Fbxw9_3,328
Fem1b_1,640
Fem1b_2,776
Fem1b_3,628
Fem1c_1,640
Fem1c_2,364
Fem1c_3,356
Flt3_1,612
Flt3_2,648
Flt3_3,756
Fmr1_1,628
Fmr1_2,540
Fmr1_3,388
Foxo1_1,560
Foxo1_2,564
Foxo1_3,540
Foxo3_1,432
Foxo3_2,380
Foxo3_3,372
Foxp3_1,788
Foxp3_2,296
Foxp3_3,432
Fullstats,2361996
Fus_1,484
Fus_2,528
Fus_3,408
Fzr1_1,476
Fzr1_2,548
Fzr1_3,188
G2e3_1,340
G2e3_2,440
G2e3_3,448
Gan_1,700
Gan_2,260
Gan_3,596
Gemin5_1,692
Gemin5_2,492
Gemin5_3,508
Glmn_1,816
Glmn_2,400
Glmn_3,596
Gm10696_1,424
Gm10696_2,192
Gm10696_3,504
Gm10697_1,428
Gm10697_2,696
Gm10697_3,388
Gm12361_1,484
Gm12361_2,488
Gm12361_3,500
Gm13416_1,404
Gm13416_2,516
Gm13416_3,404
Gm15800_1,236
Gm15800_2,508
Gm15800_3,484
Gm18806_1,388
Gm18806_2,584
Gm18806_3,1012
Gm18856_1,460
Gm18856_2,364
Gm18856_3,520
Gm19037_1,684
Gm19037_2,644
Gm19037_3,256
Gm19640_1,536
Gm19640_2,640
Gm19640_3,348
Gm19741_1,112
Gm19741_2,700
Gm19741_3,564
Gm21964_1,432
Gm21964_2,188
Gm21964_3,572
Gm35339_1,480
Gm35339_2,516
Gm35339_3,616
Gm3701_1,632
Gm3701_2,448
Gm3701_3,300
Gm44505_1,344
Gm44505_2,296
Gm44505_3,332
Gm4778_1,468
Gm4778_2,532
Gm4778_3,524
Gm4858_1,556
Gm4858_2,696
Gm4858_3,580
Gm5286_1,604
Gm5286_2,324
Gm5286_3,532
Gm5773_1,516
Gm5773_2,660
Gm5773_3,592
Gm7075_1,576
Gm7075_2,420
Gm7075_3,556
Gm9008_1,748
Gm9008_2,496
Gm9008_3,248
Gm9117_1,540
Gm9117_2,300
Gm9117_3,328
Gm9125_1,656
Gm9125_2,496
Gm9125_3,220
Gm9840_1,276
Gm9840_2,492
Gm9840_3,524
Gm9847_1,580
Gm9847_2,400
Gm9847_3,608
Gmcl1_1,464
Gmcl1_2,460
Gmcl1_3,440
Gmnn_1,584
Gmnn_2,324
Gmnn_3,416
Gnb1_1,508
Gnb1_2,476
Gnb1_3,520
Gnb1l_1,320
Gnb1l_2,492
Gnb1l_3,156
Gnb2_1,288
Gnb2_2,512
Gnb2_3,408
Gnb3_1,632
Gnb3_2,424
Gnb3_3,312
Gnb4_1,440
Gnb4_2,552
Gnb4_3,364
Gnb5_1,496
Gnb5_2,780
Gnb5_3,524
Grb10_1,928
Grb10_2,628
Grb10_3,128
Grb2_1,616
Grb2_2,616
Grb2_3,396
Grwd1_1,456
Grwd1_2,552
Grwd1_3,604
Gsk3b_1,504
Gsk3b_2,560
Gsk3b_3,768
Gtf2h2_1,564
Gtf2h2_2,608
Gtf2h2_3,392
Gtf3c1_1,532
Gtf3c1_2,492
Gtf3c1_3,508
Gtf3c2_1,428
Gtf3c2_2,172
Gtf3c2_3,440
Gzf1_1,632
Gzf1_2,316
Gzf1_3,540
H2afx_1,368
H2afx_2,428
H2afx_3,356
Hace1_1,500
Hace1_2,740
Hace1_3,684
Hdac4_1,408
Hdac4_2,548
Hdac4_3,824
Hectd1_1,804
Hectd1_2,480
Hectd1_3,688
Hectd2_1,540
Hectd2_2,256
Hectd2_3,516
Hectd3_1,480
Hectd3_2,632
Hectd3_3,640
Hecw1_1,408
Hecw1_2,200
Hecw1_3,312
Hecw2_1,208
Hecw2_2,424
Hecw2_3,552
Herc1_1,260
Herc1_2,1092
Herc1_3,560
Herc2_1,308
Herc2_2,532
Herc2_3,588
Herc3_1,420
Herc3_2,408
Herc3_3,460
Herc4_1,640
Herc4_2,380
Herc4_3,280
Herc6_1,424
Herc6_2,584
Herc6_3,320
Hes5_1,428
Hes5_2,556
Hes5_3,512
Hic1_1,364
Hic1_2,560
Hic1_3,168
Hic2_1,500
Hic2_2,480
Hic2_3,396
Hif1a_1,396
Hif1a_2,452
Hif1a_3,520
Hira_1,484
Hira_2,460
Hira_3,348
Hltf_1,476
Hltf_2,636
Hltf_3,1008
Hoxb4_1,540
Hoxb4_2,708
Hoxb4_3,228
Htra2_1,560
Htra2_2,708
Htra2_3,476
Huwe1_1,344
Huwe1_2,432
Huwe1_3,868
Ibtk_1,556
Ibtk_2,544
Ibtk_3,416
Icos_1,244
Icos_2,404
Icos_3,428
Ifnar1_1,468
Ifnar1_2,216
Ifnar1_3,644
Ift122_1,224
Ift122_2,364
Ift122_3,712
Ift80_1,484
Ift80_2,328
Ift80_3,516
Igf1r_1,500
Igf1r_2,340
Igf1r_3,660
Ikbke_1,868
Ikbke_2,480
Ikbke_3,164
Ikbkg_1,368
Ikbkg_2,576
Ikbkg_3,304
Il10_1,312
Il10_2,692
Il10_3,472
Il17a_1,624
Il17a_2,596
Il17a_3,564
Ing1_1,284
Ing1_2,360
Ing1_3,416
Ing2_1,740
Ing2_2,416
Ing2_3,372
Ing3_1,200
Ing3_2,336
Ing3_3,688
Ing4_1,336
Ing4_2,600
Ing4_3,352
Ing5_1,412
Ing5_2,468
Ing5_3,452
Ints12_1,348
Ints12_2,512
Ints12_3,684
Ipp_1,404
Ipp_2,744
Ipp_3,680
Irf2bp1_1,576
Irf2bp1_2,352
Irf2bp1_3,456
Irf2bpl_1,376
Irf2bpl_2,664
Irf2bpl_3,512
Irf8_1,376
Irf8_2,768
Irf8_3,484
Irs1_1,656
Irs1_2,500
Irs1_3,336
Isg15_1,636
Isg15_2,184
Isg15_3,268
Itch_1,596
Itch_2,192
Itch_3,416
Ivns1abp_1,340
Ivns1abp_2,196
Ivns1abp_3,820
Jade1_1,612
Jade1_2,216
Jade1_3,296
Jade2_1,424
Jade2_2,480
Jade2_3,500
Jun_1,400
Jun_2,444
Jun_3,852
Junb_1,284
Junb_2,708
Junb_3,540
Kat2b_1,568
Kat2b_2,464
Kat2b_3,164
Kat6a_1,252
Kat6a_2,680
Kat6a_3,612
Katnb1_1,252
Katnb1_2,580
Katnb1_3,408
Kbtbd12_1,456
Kbtbd12_2,552
Kbtbd12_3,436
Kbtbd13_1,548
Kbtbd13_2,536
Kbtbd13_3,472
Kbtbd2_1,184
Kbtbd2_2,408
Kbtbd2_3,728
Kbtbd3_1,400
Kbtbd3_2,180
Kbtbd3_3,536
Kbtbd4_1,452
Kbtbd4_2,816
Kbtbd4_3,784
Kbtbd6_1,236
Kbtbd6_2,520
Kbtbd6_3,380
Kbtbd7_1,1028
Kbtbd7_2,380
Kbtbd7_3,308
Kbtbd8_1,652
Kbtbd8_2,576
Kbtbd8_3,528
Kcmf1_1,492
Kcmf1_2,444
Kcmf1_3,680
Kctd10_1,340
Kctd10_2,280
Kctd10_3,548
Kctd11_1,272
Kctd11_2,344
Kctd11_3,460
Kctd13_1,320
Kctd13_2,440
Kctd13_3,192
Kctd17_1,544
Kctd17_2,316
Kctd17_3,476
Kctd2_1,428
Kctd2_2,640
Kctd2_3,700
Kctd21_1,392
Kctd21_2,400
Kctd21_3,496
Kctd3_1,432
Kctd3_2,356
Kctd3_3,428
Kctd5_1,608
Kctd5_2,468
Kctd5_3,508
Kctd6_1,408
Kctd6_2,788
Kctd6_3,596
Kctd9_1,308
Kctd9_2,656
Kctd9_3,184
Kdm2a_1,500
Kdm2a_2,436
Kdm2a_3,748
Kdm2b_1,424
Kdm2b_2,424
Kdm2b_3,664
Kdm4a_1,536
Kdm4a_2,540
Kdm4a_3,584
Kdm5a_1,500
Kdm5a_2,404
Kdm5a_3,424
Kdm5b_1,316
Kdm5b_2,408
Kdm5b_3,644
Kdm5c_1,612
Kdm5c_2,772
Kdm5c_3,876
Kdm5d_1,596
Kdm5d_2,488
Kdm5d_3,620
Kdm7a_1,532
Kdm7a_2,764
Kdm7a_3,364
Keap1_1,460
Keap1_2,576
Keap1_3,600
Kif21a_1,168
Kif21a_2,352
Kif21a_3,508
