GeneA,guides_a,guides_b
4921501E09Rik,4921501E09Rik_1,4921501E09Rik_2
4930595M18Rik,4930595M18Rik_1,4930595M18Rik_2
8030462N17Rik,8030462N17Rik_1,8030462N17Rik_2
Aamp,Aamp_1,Aamp_2
Aamp,Aamp_1,Aamp_2
Abtb1,Abtb1_1,Abtb1_2
Abtb2,Abtb2_1,Abtb2_3
Acaca,Acaca_1,Acaca_2
Acaca,Acaca_1,Acaca_2
Ago2,Ago2_1,Ago2_2
Ago2,Ago2_1,Ago2_3
Ago2,Ago2_1,Ago2_2
Ago2,Ago2_2,Ago2_3
Ago2,Ago2_1,Ago2_3
Ago2,Ago2_2,Ago2_3
Ahctf1,Ahctf1_1,Ahctf1_2
Ahctf1,Ahctf1_1,Ahctf1_3
Ahctf1,Ahctf1_1,Ahctf1_2
Ahctf1,Ahctf1_2,Ahctf1_3
Ahctf1,Ahctf1_1,Ahctf1_3
Ahctf1,Ahctf1_2,Ahctf1_3
Ahr,Ahr_1,Ahr_2
Ahr,Ahr_1,Ahr_2
Akt1,Akt1_1,Akt1_2
Akt1,Akt1_1,Akt1_3
Akt1,Akt1_1,Akt1_2
Akt1,Akt1_2,Akt1_3
Akt1,Akt1_1,Akt1_3
Akt1,Akt1_2,Akt1_3
Ambra1,Ambra1_1,Ambra1_2
Ambra1,Ambra1_1,Ambra1_3
Ambra1,Ambra1_1,Ambra1_2
Ambra1,Ambra1_2,Ambra1_3
Ambra1,Ambra1_1,Ambra1_3
Ambra1,Ambra1_2,Ambra1_3
Amfr,Amfr_2,Amfr_3
Anapc1,Anapc1_1,Anapc1_3
Anapc10,Anapc10_1,Anapc10_2
Anapc11,Anapc11_2,Anapc11_3
Anapc13,Anapc13_2,Anapc13_3
Anapc2,Anapc2_1,Anapc2_2
Anapc4,Anapc4_1,Anapc4_3
Anapc4,Anapc4_1,Anapc4_3
Anapc5,Anapc5_1,Anapc5_2
Anapc5,Anapc5_1,Anapc5_3
Anapc5,Anapc5_1,Anapc5_2
Anapc5,Anapc5_2,Anapc5_3
Anapc5,Anapc5_1,Anapc5_3
Anapc5,Anapc5_2,Anapc5_3
Anapc7,Anapc7_1,Anapc7_2
Ankfy1,Ankfy1_1,Ankfy1_2
Ankfy1,Ankfy1_1,Ankfy1_3
Ankfy1,Ankfy1_1,Ankfy1_2
Ankfy1,Ankfy1_2,Ankfy1_3
Ankfy1,Ankfy1_1,Ankfy1_3
Ankfy1,Ankfy1_2,Ankfy1_3
Apaf1,Apaf1_1,Apaf1_3
Apbb1,Apbb1_1,Apbb1_3
Apc,Apc_2,Apc_3
Ar,Ar_1,Ar_3
Arel1,Arel1_1,Arel1_3
Arih1,Arih1_1,Arih1_2
Arih1,Arih1_1,Arih1_3
Arih1,Arih1_1,Arih1_2
Arih1,Arih1_2,Arih1_3
Arih1,Arih1_1,Arih1_3
Arih1,Arih1_2,Arih1_3
Arih2,Arih2_1,Arih2_2
Arih2,Arih2_1,Arih2_3
Arih2,Arih2_1,Arih2_2
Arih2,Arih2_2,Arih2_3
Arih2,Arih2_1,Arih2_3
Arih2,Arih2_2,Arih2_3
Armc8,Armc8_1,Armc8_3
Arnt,Arnt_1,Arnt_2
Arnt,Arnt_1,Arnt_3
Arnt,Arnt_1,Arnt_2
Arnt,Arnt_2,Arnt_3
Arnt,Arnt_1,Arnt_3
Arnt,Arnt_2,Arnt_3
Arpc1a,Arpc1a_1,Arpc1a_3
Arpc1b,Arpc1b_1,Arpc1b_2
Arpc1b,Arpc1b_1,Arpc1b_3
Arpc1b,Arpc1b_1,Arpc1b_2
Arpc1b,Arpc1b_2,Arpc1b_3
Arpc1b,Arpc1b_1,Arpc1b_3
Arpc1b,Arpc1b_2,Arpc1b_3
Arrb1,Arrb1_1,Arrb1_3
Asb1,Asb1_1,Asb1_2
Asb11,Asb11_1,Asb11_3
Asb12,Asb12_1,Asb12_3
Asb14,Asb14_2,Asb14_3
Asb15,Asb15_2,Asb15_3
Asb2,Asb2_2,Asb2_3
Asb3,Asb3_1,Asb3_2
Asb4,Asb4_1,Asb4_3
Asb6,Asb6_1,Asb6_3
Asb7,Asb7_1,Asb7_3
Asb9,Asb9_2,Asb9_3
Atg16l1,Atg16l1_1,Atg16l1_2
Atg16l2,Atg16l2_2,Atg16l2_3
Atg5,Atg5_1,Atg5_2
Atxn3,Atxn3_2,Atxn3_3
Aurka,Aurka_1,Aurka_2
Bach1,Bach1_1,Bach1_2
Bach1,Bach1_1,Bach1_3
Bach1,Bach1_1,Bach1_2
Bach1,Bach1_2,Bach1_3
Bach1,Bach1_1,Bach1_3
Bach1,Bach1_2,Bach1_3
Bard1,Bard1_1,Bard1_3
Baz1a,Baz1a_1,Baz1a_2
Baz1a,Baz1a_1,Baz1a_3
Baz1a,Baz1a_1,Baz1a_2
Baz1a,Baz1a_2,Baz1a_3
Baz1a,Baz1a_1,Baz1a_3
Baz1a,Baz1a_2,Baz1a_3
Baz1b,Baz1b_1,Baz1b_2
Bcl6,Bcl6_1,Bcl6_3
Bfar,Bfar_1,Bfar_2
Bid,Bid_1,Bid_3
Birc2,Birc2_1,Birc2_2
Birc2,Birc2_1,Birc2_3
Birc2,Birc2_1,Birc2_2
Birc2,Birc2_2,Birc2_3
Birc2,Birc2_1,Birc2_3
Birc2,Birc2_2,Birc2_3
Birc3,Birc3_1,Birc3_2
Bmi1,Bmi1_1,Bmi1_2
Bmi1,Bmi1_1,Bmi1_3
Bmi1,Bmi1_1,Bmi1_2
Bmi1,Bmi1_2,Bmi1_3
Bmi1,Bmi1_1,Bmi1_3
Bmi1,Bmi1_2,Bmi1_3
Bop1,Bop1_1,Bop1_2
Bop1,Bop1_1,Bop1_3
Bop1,Bop1_1,Bop1_2
Bop1,Bop1_2,Bop1_3
Bop1,Bop1_1,Bop1_3
Bop1,Bop1_2,Bop1_3
Bptf,Bptf_1,Bptf_2
Bptf,Bptf_1,Bptf_3
Bptf,Bptf_1,Bptf_2
Bptf,Bptf_2,Bptf_3
Bptf,Bptf_1,Bptf_3
Bptf,Bptf_2,Bptf_3
Brap,Brap_1,Brap_2
Brap,Brap_1,Brap_3
Brap,Brap_1,Brap_2
